session_id,trial_id,repetition,label,sample,time_s,adc
20260914_141144_206684,1,1,REST,0,0.0,1138
20260914_141144_206684,1,1,REST,1,0.001,1138
20260914_141144_206684,1,1,REST,2,0.002,1148
20260914_141144_206684,1,1,REST,3,0.003,1151
20260914_141144_206684,1,1,REST,4,0.004,1137
20260914_141144_206684,1,1,REST,5,0.005,1142
20260914_141144_206684,1,1,REST,6,0.006,1143
20260914_141144_206684,1,1,REST,7,0.007,1139
20260914_141144_206684,1,1,REST,8,0.008,1138
20260914_141144_206684,1,1,REST,9,0.009,1139
20260914_141144_206684,1,1,REST,10,0.01,1138
20260914_141144_206684,1,1,REST,11,0.011,1143
20260914_141144_206684,1,1,REST,12,0.012,1142
20260914_141144_206684,1,1,REST,13,0.013,1157
20260914_141144_206684,1,1,REST,14,0.014,1146
20260914_141144_206684,1,1,REST,15,0.015,1136
20260914_141144_206684,1,1,REST,16,0.016,1145
20260914_141144_206684,1,1,REST,17,0.017,1135
20260914_141144_206684,1,1,REST,18,0.018,1140
20260914_141144_206684,1,1,REST,19,0.019,1127
20260914_141144_206684,1,1,REST,20,0.02,1141
20260914_141144_206684,1,1,REST,21,0.021,1124
20260914_141144_206684,1,1,REST,22,0.022,1133
20260914_141144_206684,1,1,REST,23,0.023,1136
20260914_141144_206684,1,1,REST,24,0.024,1138
20260914_141144_206684,1,1,REST,25,0.025,1140
20260914_141144_206684,1,1,REST,26,0.026,1136
20260914_141144_206684,1,1,REST,27,0.027,1136
20260914_141144_206684,1,1,REST,28,0.028,1137
20260914_141144_206684,1,1,REST,29,0.029,1134
20260914_141144_206684,1,1,REST,30,0.03,1136
20260914_141144_206684,1,1,REST,31,0.031,1135
20260914_141144_206684,1,1,REST,32,0.032,1152
20260914_141144_206684,1,1,REST,33,0.033,1140
20260914_141144_206684,1,1,REST,34,0.034,1144
20260914_141144_206684,1,1,REST,35,0.035,1152
20260914_141144_206684,1,1,REST,36,0.036,1196
20260914_141144_206684,1,1,REST,37,0.037,1147
20260914_141144_206684,1,1,REST,38,0.038,1142
20260914_141144_206684,1,1,REST,39,0.039,1144
20260914_141144_206684,1,1,REST,40,0.04,1138
20260914_141144_206684,1,1,REST,41,0.041,1141
20260914_141144_206684,1,1,REST,42,0.042,1136
20260914_141144_206684,1,1,REST,43,0.043,1137
20260914_141144_206684,1,1,REST,44,0.044,1137
20260914_141144_206684,1,1,REST,45,0.045,1141
20260914_141144_206684,1,1,REST,46,0.046,1146
20260914_141144_206684,1,1,REST,47,0.047,1136
20260914_141144_206684,1,1,REST,48,0.048,1190
20260914_141144_206684,1,1,REST,49,0.049,1130
20260914_141144_206684,1,1,REST,50,0.05,1137
20260914_141144_206684,1,1,REST,51,0.051,1137
20260914_141144_206684,1,1,REST,52,0.052,1136
20260914_141144_206684,1,1,REST,53,0.053,1137
20260914_141144_206684,1,1,REST,54,0.054,1137
20260914_141144_206684,1,1,REST,55,0.055,1115
20260914_141144_206684,1,1,REST,56,0.056,1135
20260914_141144_206684,1,1,REST,57,0.057,1137
20260914_141144_206684,1,1,REST,58,0.058,1139
20260914_141144_206684,1,1,REST,59,0.059,1133
20260914_141144_206684,1,1,REST,60,0.06,1141
20260914_141144_206684,1,1,REST,61,0.061,1126
20260914_141144_206684,1,1,REST,62,0.062,1118
20260914_141144_206684,1,1,REST,63,0.063,1133
20260914_141144_206684,1,1,REST,64,0.064,1139
20260914_141144_206684,1,1,REST,65,0.065,1125
20260914_141144_206684,1,1,REST,66,0.066,1140
20260914_141144_206684,1,1,REST,67,0.067,1146
20260914_141144_206684,1,1,REST,68,0.068,1151
20260914_141144_206684,1,1,REST,69,0.069,1141
20260914_141144_206684,1,1,REST,70,0.07,1149
20260914_141144_206684,1,1,REST,71,0.071,1135
20260914_141144_206684,1,1,REST,72,0.072,1141
20260914_141144_206684,1,1,REST,73,0.073,1141
20260914_141144_206684,1,1,REST,74,0.074,1132
20260914_141144_206684,1,1,REST,75,0.075,1143
20260914_141144_206684,1,1,REST,76,0.076,1130
20260914_141144_206684,1,1,REST,77,0.077,1110
20260914_141144_206684,1,1,REST,78,0.078,1120
20260914_141144_206684,1,1,REST,79,0.079,1126
20260914_141144_206684,1,1,REST,80,0.08,1143
20260914_141144_206684,1,1,REST,81,0.081,1123
20260914_141144_206684,1,1,REST,82,0.082,1131
20260914_141144_206684,1,1,REST,83,0.083,1150
20260914_141144_206684,1,1,REST,84,0.084,1137
20260914_141144_206684,1,1,REST,85,0.085,1147
20260914_141144_206684,1,1,REST,86,0.086,1123
20260914_141144_206684,1,1,REST,87,0.087,1136
20260914_141144_206684,1,1,REST,88,0.088,1140
20260914_141144_206684,1,1,REST,89,0.089,1143
20260914_141144_206684,1,1,REST,90,0.09,1150
20260914_141144_206684,1,1,REST,91,0.091,1146
20260914_141144_206684,1,1,REST,92,0.092,1136
20260914_141144_206684,1,1,REST,93,0.093,1136
20260914_141144_206684,1,1,REST,94,0.094,1136
20260914_141144_206684,1,1,REST,95,0.095,1130
20260914_141144_206684,1,1,REST,96,0.096,1139
20260914_141144_206684,1,1,REST,97,0.097,1136
20260914_141144_206684,1,1,REST,98,0.098,1152
20260914_141144_206684,1,1,REST,99,0.099,1137
20260914_141144_206684,1,1,REST,100,0.1,1154
20260914_141144_206684,1,1,REST,101,0.101,1151
20260914_141144_206684,1,1,REST,102,0.102,1159
20260914_141144_206684,1,1,REST,103,0.103,1154
20260914_141144_206684,1,1,REST,104,0.104,1136
20260914_141144_206684,1,1,REST,105,0.105,1136
20260914_141144_206684,1,1,REST,106,0.106,1127
20260914_141144_206684,1,1,REST,107,0.107,1142
20260914_141144_206684,1,1,REST,108,0.108,1145
20260914_141144_206684,1,1,REST,109,0.109,1146
20260914_141144_206684,1,1,REST,110,0.11,1139
20260914_141144_206684,1,1,REST,111,0.111,1139
20260914_141144_206684,1,1,REST,112,0.112,1143
20260914_141144_206684,1,1,REST,113,0.113,1140
20260914_141144_206684,1,1,REST,114,0.114,1134
20260914_141144_206684,1,1,REST,115,0.115,1136
20260914_141144_206684,1,1,REST,116,0.116,1139
20260914_141144_206684,1,1,REST,117,0.117,1139
20260914_141144_206684,1,1,REST,118,0.118,1131
20260914_141144_206684,1,1,REST,119,0.119,1157
20260914_141144_206684,1,1,REST,120,0.12,1133
20260914_141144_206684,1,1,REST,121,0.121,1142
20260914_141144_206684,1,1,REST,122,0.122,1142
20260914_141144_206684,1,1,REST,123,0.123,1138
20260914_141144_206684,1,1,REST,124,0.124,1143
20260914_141144_206684,1,1,REST,125,0.125,1136
20260914_141144_206684,1,1,REST,126,0.126,1147
20260914_141144_206684,1,1,REST,127,0.127,1134
20260914_141144_206684,1,1,REST,128,0.128,1152
20260914_141144_206684,1,1,REST,129,0.129,1134
20260914_141144_206684,1,1,REST,130,0.13,1154
20260914_141144_206684,1,1,REST,131,0.131,1143
20260914_141144_206684,1,1,REST,132,0.132,1136
