sample,time_s,adc
0,0.0,882
1,0.001,898
2,0.002,902
3,0.003,939
4,0.004,890
5,0.005,882
6,0.006,886
7,0.007,880
8,0.008,815
9,0.009,877
10,0.01,891
11,0.011,829
12,0.012,880
13,0.013,877
14,0.014,875
15,0.015,893
16,0.016,864
17,0.017,887
18,0.018,843
19,0.019,895
20,0.02,896
21,0.021,896
22,0.022,971
23,0.023,886
24,0.024,880
25,0.025,879
26,0.026,887
27,0.027,825
28,0.028,828
29,0.029,869
30,0.03,873
31,0.031,879
32,0.032,896
33,0.033,895
34,0.034,899
35,0.035,903
36,0.036,877
37,0.037,865
38,0.038,877
39,0.039,766
40,0.04,889
41,0.041,912
42,0.042,880
43,0.043,880
44,0.044,877
45,0.045,896
46,0.046,893
47,0.047,880
48,0.048,886
49,0.049,807
50,0.05,889
51,0.051,847
52,0.052,843
53,0.053,864
54,0.054,859
55,0.055,879
56,0.056,880
57,0.057,886
58,0.058,881
59,0.059,883
60,0.06,882
61,0.061,898
62,0.062,899
63,0.063,897
64,0.064,884
65,0.065,881
66,0.066,880
67,0.067,873
68,0.068,870
69,0.069,803
70,0.07,881
71,0.071,880
72,0.072,880
73,0.073,877
74,0.074,878
75,0.075,848
76,0.076,882
77,0.077,880
78,0.078,886
79,0.079,883
80,0.08,881
81,0.081,882
82,0.082,879
83,0.083,879
84,0.084,880
85,0.085,879
86,0.086,887
87,0.087,898
88,0.088,886
89,0.089,794
90,0.09,880
91,0.091,873
92,0.092,907
93,0.093,880
94,0.094,879
95,0.095,874
96,0.096,886
97,0.097,884
98,0.098,882
99,0.099,886
100,0.1,886
101,0.101,882
102,0.102,898
103,0.103,889
104,0.104,864
105,0.105,907
106,0.106,874
107,0.107,849
108,0.108,870
109,0.109,894
110,0.11,879
111,0.111,886
112,0.112,847
113,0.113,883
114,0.114,876
115,0.115,881
116,0.116,870
117,0.117,866
118,0.118,880
119,0.119,935
120,0.12,903
121,0.121,903
122,0.122,903
123,0.123,886
124,0.124,847
125,0.125,833
126,0.126,872
127,0.127,863
128,0.128,867
129,0.129,861
130,0.13,865
131,0.131,877
132,0.132,874
133,0.133,885
134,0.134,883
135,0.135,885
136,0.136,889
137,0.137,899
138,0.138,886
139,0.139,901
140,0.14,892
141,0.141,902
142,0.142,890
143,0.143,880
144,0.144,880
145,0.145,885
146,0.146,887
147,0.147,874
148,0.148,880
149,0.149,874
150,0.15,875
151,0.151,881
152,0.152,881
153,0.153,873
154,0.154,880
155,0.155,881
156,0.156,883
157,0.157,882
158,0.158,893
159,0.159,880
160,0.16,883
161,0.161,881
162,0.162,890
163,0.163,876
164,0.164,880
165,0.165,896
166,0.166,880
167,0.167,873
168,0.168,883
169,0.169,880
170,0.17,881
171,0.171,880
172,0.172,884
173,0.173,890
174,0.174,891
175,0.175,889
176,0.176,885
177,0.177,875
178,0.178,880
179,0.179,882
180,0.18,880
181,0.181,867
182,0.182,876
183,0.183,880
184,0.184,880
185,0.185,880
186,0.186,883
187,0.187,880
188,0.188,880
189,0.189,847
190,0.19,880
191,0.191,880
192,0.192,875
193,0.193,880
194,0.194,877
195,0.195,877
196,0.196,880
197,0.197,880
198,0.198,885
199,0.199,885
200,0.2,890
201,0.201,886
202,0.202,881
203,0.203,878
204,0.204,877
205,0.205,883
206,0.206,887
207,0.207,871
208,0.208,879
209,0.209,880
210,0.21,871
211,0.211,875
212,0.212,869
213,0.213,899
214,0.214,866
215,0.215,896
216,0.216,880
217,0.217,880
218,0.218,877
219,0.219,879
220,0.22,889
221,0.221,891
222,0.222,886
223,0.223,876
224,0.224,891
225,0.225,887
226,0.226,880
227,0.227,866
228,0.228,885
229,0.229,866
230,0.23,865
231,0.231,874
232,0.232,877
233,0.233,877
234,0.234,802
235,0.235,857
236,0.236,874
237,0.237,887
238,0.238,884
239,0.239,880
240,0.24,884
241,0.241,886
242,0.242,883
243,0.243,929
244,0.244,902
245,0.245,880
246,0.246,871
247,0.247,874
248,0.248,871
249,0.249,867
250,0.25,870
251,0.251,869
252,0.252,873
253,0.253,866
254,0.254,881
255,0.255,876
256,0.256,890
257,0.257,895
258,0.258,917
259,0.259,927
260,0.26,923
261,0.261,906
262,0.262,910
263,0.263,880
264,0.264,817
265,0.265,842
266,0.266,851
267,0.267,860
268,0.268,851
269,0.269,865
270,0.27,861
271,0.271,875
272,0.272,883
273,0.273,882
274,0.274,887
275,0.275,880
276,0.276,885
277,0.277,894
278,0.278,912
279,0.279,915
280,0.28,938
281,0.281,933
282,0.282,918
283,0.283,882
284,0.284,850
285,0.285,839
286,0.286,841
287,0.287,854
288,0.288,851
289,0.289,865
290,0.29,873
291,0.291,870
292,0.292,882
293,0.293,880
294,0.294,883
295,0.295,885
296,0.296,875
297,0.297,881
298,0.298,891
299,0.299,887
300,0.3,887
301,0.301,911
302,0.302,919
303,0.303,882
304,0.304,882
305,0.305,880
306,0.306,880
307,0.307,876
308,0.308,883
309,0.309,883
310,0.31,878
311,0.311,879
312,0.312,880
313,0.313,880
314,0.314,878
315,0.315,883
316,0.316,883
317,0.317,885
318,0.318,895
319,0.319,892
320,0.32,887
321,0.321,897
322,0.322,896
323,0.323,895
324,0.324,886
325,0.325,883
326,0.326,870
327,0.327,861
328,0.328,848
329,0.329,853
330,0.33,867
331,0.331,870
332,0.332,881
333,0.333,1072
334,0.334,880
335,0.335,879
336,0.336,880
337,0.337,877
338,0.338,877
339,0.339,880
340,0.34,890
341,0.341,891
342,0.342,892
343,0.343,881
344,0.344,896
345,0.345,883
346,0.346,883
347,0.347,909
348,0.348,849
349,0.349,885
350,0.35,889
351,0.351,874
352,0.352,893
353,0.353,877
354,0.354,879
355,0.355,881
356,0.356,878
357,0.357,890
358,0.358,881
359,0.359,890
360,0.36,890
361,0.361,885
362,0.362,896
363,0.363,893
364,0.364,880
365,0.365,881
366,0.366,871
367,0.367,879
368,0.368,879
369,0.369,869
370,0.37,867
371,0.371,871
372,0.372,868
373,0.373,878
374,0.374,873
375,0.375,875
376,0.376,889
377,0.377,887
378,0.378,883
379,0.379,886
380,0.38,890
381,0.381,897
382,0.382,881
383,0.383,885
384,0.384,893
385,0.385,887
386,0.386,882
387,0.387,873
388,0.388,875
389,0.389,832
390,0.39,875
391,0.391,881
392,0.392,906
393,0.393,880
394,0.394,881
395,0.395,879
396,0.396,875
397,0.397,883
398,0.398,883
399,0.399,889
400,0.4,897
401,0.401,885
402,0.402,884
403,0.403,880
404,0.404,883
405,0.405,866
406,0.406,881
407,0.407,878
408,0.408,874
409,0.409,879
410,0.41,877
411,0.411,875
412,0.412,880
413,0.413,885
414,0.414,883
415,0.415,881
416,0.416,848
417,0.417,895
418,0.418,883
419,0.419,880
420,0.42,882
421,0.421,880
422,0.422,880
423,0.423,893
424,0.424,893
425,0.425,881
426,0.426,879
427,0.427,881
428,0.428,880
429,0.429,880
430,0.43,872
431,0.431,880
432,0.432,879
433,0.433,893
434,0.434,889
435,0.435,890
436,0.436,874
437,0.437,880
438,0.438,875
439,0.439,871
440,0.44,895
441,0.441,896
442,0.442,881
443,0.443,882
444,0.444,880
445,0.445,880
446,0.446,880
447,0.447,879
448,0.448,879
449,0.449,874
450,0.45,877
451,0.451,865
452,0.452,870
453,0.453,880
454,0.454,876
455,0.455,880
456,0.456,881
457,0.457,891
458,0.458,887
459,0.459,886
460,0.46,912
461,0.461,891
462,0.462,880
463,0.463,893
464,0.464,897
465,0.465,883
466,0.466,880
467,0.467,877
468,0.468,882
469,0.469,897
470,0.47,887
471,0.471,880
472,0.472,868
473,0.473,869
474,0.474,859
475,0.475,861
476,0.476,861
477,0.477,869
478,0.478,882
479,0.479,886
480,0.48,885
481,0.481,880
482,0.482,921
483,0.483,896
484,0.484,892
485,0.485,879
486,0.486,889
487,0.487,877
488,0.488,880
489,0.489,886
490,0.49,880
491,0.491,873
492,0.492,880
493,0.493,923
494,0.494,887
495,0.495,879
496,0.496,876
497,0.497,880
498,0.498,878
499,0.499,880
500,0.5,887
501,0.501,886
502,0.502,884
503,0.503,879
504,0.504,879
505,0.505,902
506,0.506,891
507,0.507,886
508,0.508,886
509,0.509,882
510,0.51,890
511,0.511,880
512,0.512,858
513,0.513,863
514,0.514,848
515,0.515,870
516,0.516,855
517,0.517,879
518,0.518,859
519,0.519,887
520,0.52,891
521,0.521,899
522,0.522,895
523,0.523,881
524,0.524,846
525,0.525,882
526,0.526,880
527,0.527,880
528,0.528,874
529,0.529,868
530,0.53,882
531,0.531,872
532,0.532,873
533,0.533,880
534,0.534,887
535,0.535,880
536,0.536,881
537,0.537,896
538,0.538,884
539,0.539,886
540,0.54,885
541,0.541,896
542,0.542,882
543,0.543,896
544,0.544,880
545,0.545,848
546,0.546,882
547,0.547,821
548,0.548,871
549,0.549,876
550,0.55,877
551,0.551,880
552,0.552,881
553,0.553,879
554,0.554,878
555,0.555,882
556,0.556,880
557,0.557,886
558,0.558,883
559,0.559,891
560,0.56,882
561,0.561,882
562,0.562,894
563,0.563,881
564,0.564,880
565,0.565,867
566,0.566,880
567,0.567,889
568,0.568,880
569,0.569,881
570,0.57,882
571,0.571,871
572,0.572,870
573,0.573,880
574,0.574,877
575,0.575,880
576,0.576,874
577,0.577,896
578,0.578,893
579,0.579,885
580,0.58,877
581,0.581,891
582,0.582,893
583,0.583,891
584,0.584,881
585,0.585,874
586,0.586,880
587,0.587,881
588,0.588,872
589,0.589,881
590,0.59,877
591,0.591,883
592,0.592,877
593,0.593,880
594,0.594,879
595,0.595,899
596,0.596,879
597,0.597,879
598,0.598,875
599,0.599,880
600,0.6,880
601,0.601,892
602,0.602,881
603,0.603,880
604,0.604,883
605,0.605,885
606,0.606,891
607,0.607,967
608,0.608,879
609,0.609,870
610,0.61,874
611,0.611,877
612,0.612,871
613,0.613,880
614,0.614,881
615,0.615,879
616,0.616,885
617,0.617,880
618,0.618,883
619,0.619,886
620,0.62,884
621,0.621,891
622,0.622,880
623,0.623,799
624,0.624,878
625,0.625,885
626,0.626,883
627,0.627,883
628,0.628,880
629,0.629,896
630,0.63,871
631,0.631,867
632,0.632,879
633,0.633,880
634,0.634,882
635,0.635,849
636,0.636,880
637,0.637,883
638,0.638,880
639,0.639,883
640,0.64,895
641,0.641,896
642,0.642,880
643,0.643,877
644,0.644,879
645,0.645,882
646,0.646,883
647,0.647,884
648,0.648,883
649,0.649,863
650,0.65,869
651,0.651,855
652,0.652,897
653,0.653,880
654,0.654,877
655,0.655,875
656,0.656,880
657,0.657,882
658,0.658,905
659,0.659,889
660,0.66,895
661,0.661,880
662,0.662,885
663,0.663,896
664,0.664,883
665,0.665,889
666,0.666,880
667,0.667,867
668,0.668,873
669,0.669,873
670,0.67,882
671,0.671,880
672,0.672,882
673,0.673,870
674,0.674,882
675,0.675,873
676,0.676,880
677,0.677,880
