sample,time_s,adc
0,0.0,1303
1,0.001,1296
2,0.002,1301
3,0.003,1329
4,0.004,1303
5,0.005,1309
6,0.006,1296
7,0.007,1345
8,0.008,1306
9,0.009,1308
10,0.01,1307
11,0.011,1315
12,0.012,1308
13,0.013,1303
14,0.014,1296
15,0.015,1273
16,0.016,1299
17,0.017,1297
18,0.018,1303
19,0.019,1301
20,0.02,1293
21,0.021,1308
22,0.022,1300
23,0.023,1293
24,0.024,1303
25,0.025,1407
26,0.026,1297
27,0.027,1313
28,0.028,1296
29,0.029,1299
30,0.03,1359
31,0.031,1306
32,0.032,1316
33,0.033,1303
34,0.034,1285
35,0.035,1294
36,0.036,1296
37,0.037,1301
38,0.038,1297
39,0.039,1315
40,0.04,1294
41,0.041,1309
42,0.042,1297
43,0.043,1296
44,0.044,1285
45,0.045,1292
46,0.046,1296
47,0.047,1309
48,0.048,1298
49,0.049,1301
50,0.05,1307
51,0.051,1307
52,0.052,1307
53,0.053,1307
54,0.054,1298
55,0.055,1299
56,0.056,1335
57,0.057,1298
58,0.058,1300
59,0.059,1296
60,0.06,1308
61,0.061,1299
62,0.062,1298
63,0.063,1296
64,0.064,1329
65,0.065,1315
66,0.066,1296
67,0.067,1279
68,0.068,1305
69,0.069,1307
70,0.07,1313
71,0.071,1309
72,0.072,1306
73,0.073,1297
74,0.074,1282
75,0.075,1296
76,0.076,1301
77,0.077,1306
78,0.078,1301
79,0.079,1293
80,0.08,1302
81,0.081,1300
82,0.082,1303
83,0.083,1296
84,0.084,1300
85,0.085,1262
86,0.086,1312
87,0.087,1299
88,0.088,1314
89,0.089,1314
90,0.09,1312
91,0.091,1297
92,0.092,1295
93,0.093,1296
94,0.094,1291
95,0.095,1300
96,0.096,1293
97,0.097,1296
98,0.098,1299
99,0.099,1297
100,0.1,1302
101,0.101,1296
102,0.102,1298
103,0.103,1296
104,0.104,1242
105,0.105,1315
106,0.106,1296
107,0.107,1293
108,0.108,1308
109,0.109,1308
110,0.11,1335
111,0.111,1307
112,0.112,1297
113,0.113,1294
114,0.114,1305
115,0.115,1301
116,0.116,1297
117,0.117,1323
118,0.118,1310
119,0.119,1299
120,0.12,1296
121,0.121,1291
122,0.122,1296
123,0.123,1270
124,0.124,1296
125,0.125,1307
126,0.126,1295
